final_text,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
tunda maskapai belah joss pelita air,1,0,9.15.2,2025-09-06 13:03:09,,
ubah jadwal bagus traveloka traveloka belum bayar jadwal tidak ubah jadwal langsung ubah jadwal tidak bayar,1,0,9.15.2,2025-09-05 16:47:47,,
hallo citilink buka rute medan bandung bandara husein,4,0,5.7.1,2025-09-05 08:00:03,,
buruk banget admin slowrespon kecewa tidak rekomendasi,1,0,,2025-09-04 06:09:59,,
terimakasih citilink senang terbang citilink ramah nyaman darat mulus rombong happy,5,0,9.15.0,2025-08-23 12:36:36,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-26 05:34:04
cepat,5,0,9.15.0,2025-08-17 10:51:10,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-20 02:41:56
bagus,5,0,9.15.0,2025-08-15 14:48:49,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-19 09:09:53
mantap,5,0,5.7.1,2025-08-13 12:47:29,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-08-14 02:40:49
bagus,5,0,,2025-08-04 06:18:45,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink.,2025-08-05 02:40:28
kabar qris,1,0,9.14.5,2025-08-03 14:02:17,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Mohon kesediaannya dapat mengirimkan detail kendala melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink,2025-08-05 02:42:45
maskapai,5,0,9.14.5,2025-07-30 03:19:37,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-30 07:48:06
sukses pt citilink indonesia moga jaya udara hadap tantang sukses citilink indonesia amin allah,5,1,9.14.5,2025-07-26 13:01:34,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-28 09:08:53
bagus,5,0,4.2.0,2025-07-26 03:18:12,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-28 09:10:58
lot transaksi bayar gagal,1,0,9.14.5,2025-07-25 19:52:54,Selamat Sore Bapak. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink,2025-07-28 09:10:09
mudah bantu fiturnya lengkap,5,1,9.14.5,2025-07-25 07:00:56,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 07:39:35
mudah jadwal,5,1,9.14.5,2025-07-25 04:01:42,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 04:24:05
pagi pagi telepon dering tanin bambang makan belimbing citilink nyaman traveling yuk terbang bareng citilink,5,0,,2025-07-25 03:45:16,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 03:38:27
bantu mudah,5,0,9.14.5,2025-07-25 01:28:46,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 02:12:48
bantu lihat jadwal terbang user interface update,5,0,9.14.5,2025-07-25 00:35:26,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:18:45
bantu,5,0,9.14.5,2025-07-25 00:10:44,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:18:54
bantu nie booking tiket daftar pake email,5,0,4.0.3,2025-07-24 21:21:18,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:19:08
mantaapp,5,0,9.14.5,2025-07-24 14:12:27,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:19:37
bagus,5,0,9.14.5,2025-07-24 13:41:10,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:19:54
bagus application,5,0,9.14.5,2025-07-24 13:24:52,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:20:07
layan nyaman,5,0,9.14.5,2025-07-24 13:15:30,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:20:21
mudah booking tiket,5,0,,2025-07-24 13:08:37,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:20:30
moga kembang,5,0,5.7.1,2025-07-24 13:06:12,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:20:41
mudah beli tiket,5,0,9.14.5,2025-07-24 12:27:31,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:20:49
nice trip with citilink,5,0,9.14.5,2025-07-24 12:25:20,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:21:03
kasih bintang 5 kasihh bagus bantu mudah beli tiket layan muas terimakasih citilink,5,0,9.14.5,2025-07-24 12:13:44,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:21:26
helpfull aplication,5,0,9.14.5,2025-07-24 11:44:07,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:21:53
terbang simple tidak ribet murah,5,0,5.5.1,2025-07-24 11:31:07,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:22:11
bantu,5,0,9.14.5,2025-07-24 11:25:54,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:22:20
great,5,0,9.14.5,2025-07-24 11:00:14,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:23:30
mudah keluarga jalan citilink,5,0,9.14.5,2025-07-24 10:55:59,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:23:51
bantu mudah,5,0,5.7.1,2025-07-24 10:37:46,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:24:09
mudah pergi,5,0,9.14.5,2025-07-24 10:29:22,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:25:01
bagus mudah beli tiket check online,5,0,5.7.1,2025-07-24 10:27:06,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:24:31
seringkali pesawat citilink gapernah ngecewain fitur prebook meals suka nasi goreng souvenirnya murah sen top pokok,5,1,9.14.5,2025-07-24 10:21:00,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:26:55
nice,5,0,9.14.5,2025-07-24 10:12:02,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 03:48:54
mantabb,5,0,4.2.0,2025-07-24 10:11:24,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:27:28
tidak was was check online citilink hati,5,0,4.0.0,2025-07-24 10:04:46,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:26:00
